campanha,tipo_campanha,canal,grupo
"2,38527E+16",Direto,Direto,Direto
62e0361693552d867429b3cd,Direto,Direto,Direto
Afilio_T1-T2_Conversao,Afilio,Afiliados,Pago
Aquisi%C3%A7%C3%A3o_free_trial_ssi_06_06,CRM Aquisição,CRM,CRM
Aquisi%C3%A7%C3%A3o_free_trial_ssi_06_06,CRM Aquisição,CRM,CRM
AquisitionLookalike,Direto,Direto,Direto
AvivaDigital_T1-T2_Conversao,Aviva Digital,Afiliados,Pago
blog-parceiros,Blog,Referral,Referral
BlogParceiros_Referral_Botao_Banner_Cadastre_Sua_Loja,Blog,Referral,Referral
BlogParceiros_Referral_Botao_Banner_QS_Torne_Parceiro_omie,Blog,Referral,Referral
BlogParceiros_Referral_Botao_Footer_Cadastre_Seu_Mercado,Blog,Referral,Referral
BlogParceiros_Referral_Botao_Footer_Cadastre_Seu_Restaurante,Blog,Referral,Referral
BlogParceiros_Referral_Botao_Home_Seja_Parceiro,Blog,Referral,Referral
BlogParceiros_Referral_Hiperlink_AcesseNossaPaginaCadastro_2,Blog,Referral,Referral
cadastro,Blog,Referral,Referral
cadastro-cardapio-digital,Blog,Referral,Referral
CliqueFooterCadastroomie,Blog,Referral,Referral
commercegrowthacquisition,Direto,Direto,Direto
como-vender-no-omie,Blog,Referral,Referral
contratar-motoboy-entrega,Blog,Referral,Referral
CRM_Rest_[Comercial]_[Chatbot]_[CadastroFood],CRM Chatbot,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_BaseGold_T3_Politica_10_12,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_BaseGold_T4_Politica_10_12,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_150k_Leads_v1_julho_07_07,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_150k_Leads_v2_julho_14_07,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_150k_Morno_20_07,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_150k_Quente_20_07,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_150kLeads1_08_06,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_Aquisicao_omie_Shop_3_17_02,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_Base150K_Disparo2_14_06,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_Base150K_Disparo3_21_06,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_Base150K_v3_28_06,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_CHS_menor50_24_11,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_free_trial_cms_11_07,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_Teste_1_CMS_18_07,CRM Aquisição,CRM,CRM
CRM_Rest_Aquisi%C3%A7%C3%A3o_Planejamento_Comercial_Teste_2_CMS_18_07,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_1P_WHATSAPP_EXPTURNO_10_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_1_5_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_1_SEMANA3_19_9_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_20_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_3_SEMANA4_30_9_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_6_MESES_18_11_2022_E-MAIL,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_6_MESES_18_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_6_MESES_19_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_6_MESES_20_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_6_MESES_BASE_FALTANTES_21_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_6_MESES_BASE_FALTANTES_22_11_2022_E-MAIL,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_6_MESES_BASE_FALTANTES_22_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_6_MESES_BASE_FALTANTES_23_11_2022_E-MAIL,CRM Abandono,CRM,CRM
